,station_name,station_latitude,station_longitude,station_no,station_id,itemDate,itemValue,itemValue2,accumRange,ts_id,oldtime,id
137,High Corrie (Gartmore),56.1262023,-4.446294544,15166,25038,2021-05-31 12:00:00,0.0,0.0,0,130638010,0,6
138,Hunterston Terminal,55.74447583,-4.86116797,469625,27322,2021-05-31 12:00:00,0.0,0.0,0,130545010,0,82
139,Hydro Gardens Moffat,55.34214596,-3.452988353,115584,22892,2021-05-31 13:00:00,0.0,0.0,0,130040010,0,181
140,Inchvuilt,57.40830735,-4.957620811,115354,22470,2021-05-31 13:00:00,0.0,0.0,0,130272010,0,73
141,Ingleston Farm,54.81170556,-4.166358356,115585,22897,2021-05-31 15:00:00,0.0,0.0,0,130043010,0,268
142,Inshes,57.45203372,-4.184715941,336367,26499,2021-05-31 12:00:00,0.2,0.2,1,130839010,0,25
143,Inverewe Garden,57.77399694,-5.596995718,115356,22476,2021-05-31 11:00:00,0.0,0.0,0,130275010,0,187
144,Inverey,56.98569953,-3.500915775,115230,22225,2021-05-31 15:00:00,0.0,0.0,0,130143010,0,186
145,Invermark,56.91121364,-2.914811966,14926,24331,2021-05-31 13:00:00,0.0,0.0,0,130161010,0,203
146,Inveruglas,56.2473573,-4.71287133,115588,22908,2021-05-31 11:00:00,0.0,0.0,0,130440010,0,231
147,Inverurie,57.2583172,-2.362253256,367365,27008,2021-05-31 11:00:00,0.0,0.0,0,130206010,0,215
148,Irvine Gailes,55.58754361,-4.663320263,115589,22914,2021-05-31 11:00:00,0.0,0.0,0,130443010,0,123
149,Jedburgh,55.4852912237259,-2.54668703951087,15006,24698,2021-05-31 14:00:00,0.0,0.0,0,130908010,0,124
150,Keith,57.55084994,-2.952079018,367360,26998,2021-05-31 16:00:00,0.0,0.0,0,130851010,0,137
151,Killermont Raingauge,55.91108458,-4.305014408,341380,26782,2021-05-31 11:00:00,0.0,0.0,0,130533010,0,255
152,Killilan,57.31881832,-5.424835603,234252,25639,2021-05-31 13:00:00,0.0,0.0,0,130329010,0,19
153,Killin,56.45816211,-4.331876561,14933,24369,2021-05-31 14:00:00,0.0,0.0,0,130965010,0,10
154,Kilphedir,58.1413891058536,-3.70281401936696,234253,25646,2021-05-31 15:00:00,0.0,0.0,0,130332010,0,174
155,Kinbuck,56.2255551,-3.949530685,14890,24151,2019-08-05 12:00:00,7.9,7.9,10,130587010,1,130
156,Kindrogan,56.74926972,-3.544931301,14955,24476,2021-05-31 14:00:00,0.0,0.0,0,130977010,0,22
157,Kinghorn Ecology Centre Rain Gauge,56.07462319,-3.193432968,473550,27345,2021-05-31 12:00:00,0.0,0.0,0,130743010,0,109
158,Kingledores,55.54240926,-3.413947163,14972,24573,2021-05-31 14:00:00,0.0,0.0,0,130884010,0,53
159,Kinkell Bridge,56.33018709,-3.726992915,14968,24549,2021-05-31 14:00:00,0.0,0.0,0,130989010,0,136
160,Kinmount House,55.01095443,-3.351411196,115596,22934,2021-05-31 15:00:00,0.0,0.0,0,130046010,0,68
161,Kirkcaldy,56.11765342,-3.147961765,335617,26213,2021-05-31 12:00:00,0.0,0.0,0,130707010,0,129
162,Kirkcudbright Raingauge,54.84543419,-4.038511682,504458,27588,2021-05-31 15:00:00,0.0,0.0,0,130119010,0,266
163,Kirkwall,58.9862236273856,-2.9493528634113,515885,975787,2021-05-31 15:00:00,0.0,0.0,0,130392010,0,133
164,Kirriemuir STW,56.65983513,-2.999773468,361048,26938,2021-05-31 13:00:00,0.0,0.0,0,131043010,0,233
165,Kirriereoch,55.15077902,-4.571934377,115599,22945,2021-05-31 16:00:00,0.0,0.0,0,130052010,0,202
166,Knockanrock,58.03118174,-5.07294078,115363,22495,2021-05-31 10:00:00,0.0,0.0,0,130281010,0,180
167,Ladyflat Farm,55.7563671174819,-2.36950120236659,368486,27034,2021-05-31 14:00:00,0.0,0.0,0,130944010,0,78
168,Lagafater Lodge,55.04328363,-4.913741812,115600,22950,2021-05-31 15:00:00,0.0,0.0,0,130055010,0,36
169,Lanark STW,55.67436394,-3.795938206,115603,22960,2021-05-31 13:00:00,0.0,0.0,0,130446010,0,97
170,Langwell Lodge,57.9748238,-5.100589967,354621,26868,2021-05-31 15:00:00,0.0,0.0,0,130374010,0,111
171,Lathro,56.2213192,-3.42872292,14902,24209,2021-05-31 12:00:00,0.0,0.0,0,130602010,0,86
172,Laxdale,57.86865846,-6.893581696,356217,26902,2021-05-31 15:00:00,0.0,0.0,0,130383010,0,59
173,Lecht Weather Station,57.19821668,-3.25888009,412495,27222,2021-05-31 12:00:00,0.0,0.0,0,130863010,0,247
174,Letham Grange,56.60403394,-2.609495534,338381,26694,2021-05-31 13:00:00,0.2,0.2,1,131034010,0,161
175,Lingerton,56.01244753,-5.422443562,133106,23641,2021-05-31 11:00:00,0.0,0.0,0,130491010,0,114
176,Little Assynt,58.1743810886208,-5.15230276806827,234264,25679,2020-12-30 10:00:00,15.4,15.4,20,130335010,1,26
177,Loch Ailsh Level,58.04827715,-4.855312073,354613,26861,2021-05-31 15:00:00,0.0,0.0,0,130371010,0,160
178,Loch Droma,57.73309629,-4.936434641,115368,22511,2021-05-31 15:00:00,0.0,0.0,0,130287010,0,92
179,Loch Katrine,56.22701614,-4.436245731,14910,24243,2021-05-31 12:00:00,0.0,0.0,0,130608010,0,224
180,Loch Restil,56.23604254,-4.853369348,485489,27372,2021-05-31 11:00:00,0.0,0.0,0,130548010,0,113
181,Loch Tormasad,57.56195723,-7.316740973,354622,26875,2020-10-24 17:00:00,17.2,17.2,20,130377010,1,43
182,Loch Venachar,56.23425763,-4.256866368,14898,24193,2021-05-31 12:00:00,0.0,0.0,0,130599010,0,28
183,Lochindorb North,57.41478835,-3.691385645,336847,26596,2021-05-31 11:00:00,0.0,0.0,0,130842010,0,172
184,Lochwinnoch,55.7885315233721,-4.61894323306089,509677,872961,2021-05-31 11:00:00,0.0,0.0,0,130566010,0,265
185,Lossiemouth,57.71918475,-3.323337879,473167,27340,2021-05-31 12:00:00,0.0,0.0,0,130869010,0,106
186,Low Creoch,54.90352684,-4.18922643,115611,22984,2021-05-31 13:00:00,0.0,0.0,0,130058010,0,88
187,Luffness,56.02022484,-2.821888561,14865,24033,2021-05-31 14:00:00,0.0,0.0,0,130578010,0,199
188,Luib,57.5445048,-5.123945869,115376,22542,2021-05-31 15:00:00,0.0,0.0,0,130293010,0,101
189,Lukeston,55.98447497,-4.240765022,327237,26125,2021-05-31 11:00:00,0.0,0.0,0,130521010,0,166
190,Luss Raingauge,56.09892116,-4.638863963,129558,23379,2021-05-31 11:00:00,0.0,0.0,0,130479010,0,240
191,Lyne Station,55.6473318263272,-3.25808918040462,14974,24585,2021-05-31 14:00:00,0.0,0.0,0,130887010,0,220
192,Meadowfoot,55.40534471,-3.799886702,115616,22999,2021-05-31 13:00:00,0.0,0.0,0,130064010,0,96
193,Merton Bank Lochmaben,55.13494009,-3.439865821,115617,23004,2021-05-31 15:00:00,0.0,0.0,0,130067010,0,260
194,Mill Croft,57.2886568,-7.368331541,354623,26881,2021-05-31 15:00:00,0.0,0.0,0,130380010,0,107
195,Mill Of Gavel,57.55561687,-2.009109628,205209,25236,2021-04-29 15:00:00,0.1,0.1,1,130164010,1,243
196,Millport,55.74955539,-4.907441406,115618,23008,2021-05-31 12:00:00,0.2,0.2,1,130449010,0,14
197,Milton of Evelix TBR,57.8912874892072,-4.08416450338909,494729,27473,2021-05-31 15:00:00,0.0,0.0,0,130389010,0,103
198,Minnigaff,54.9588823,-4.471659058,338429,26703,2021-05-31 15:00:00,0.0,0.0,0,130109010,0,229
199,Moar,56.57276553,-4.388958153,14949,24440,2021-05-31 14:00:00,0.0,0.0,0,130971010,0,151
200,Mongour,57.00199506,-2.388582046,115235,22240,2021-05-31 15:00:00,0.0,0.0,0,130146010,0,138
201,Montrose,56.69908575,-2.491155025,15078,24859,2021-05-31 13:00:00,0.0,0.0,0,131001010,0,27
202,Monyquil Farm,55.56419458,-5.271931931,133115,23691,2021-05-31 14:00:00,0.0,0.0,0,130494010,0,99
203,Mouthbridge,55.770128146213,-2.27919326297828,15022,24751,2021-05-28 03:00:00,0.0,0.0,0,130920010,1,62
204,Muirkirk STW,55.51335703,-4.096604222,115622,23016,2021-05-31 12:00:00,0.0,0.0,0,130452010,0,94
205,Muirshiel RG,55.84918458,-4.742664896,490986,27406,2021-05-26 02:00:00,3.6,3.6,5,130560010,1,235
206,Murray Burn,55.91287677,-3.317681386,372859,27130,2021-05-31 12:00:00,0.0,0.0,0,130728010,0,259
207,Murton,56.65077608,-2.823539396,335650,26282,2021-05-31 13:00:00,0.0,0.0,0,131019010,0,241
208,Mylnefield,56.46017678,-3.075838089,335651,26289,2021-05-31 13:00:00,0.0,0.0,0,131022010,0,192
209,Nairn Dunbar Golf Course,57.59406094,-3.842759406,341224,26739,2021-05-31 12:00:00,0.0,0.0,0,130845010,0,125
210,New Kelso,57.42953514,-5.429999168,234289,25756,2021-05-31 15:00:00,0.0,0.0,0,130338010,0,216
211,Newton of Falkland,56.25431474,-3.186268594,15083,24867,2021-05-31 13:00:00,0.0,0.0,0,131004010,0,168
212,Newtonairds,55.10134134,-3.742902191,115627,23030,2021-05-31 15:00:00,0.2,0.2,1,130070010,0,209
213,Nigg Headworks,57.13140193,-2.061103972,335797,26358,2021-05-31 15:00:00,0.0,0.0,0,130191010,0,143
214,North Berwick (Kingston),56.03149667,-2.734270572,335621,26223,2021-05-31 10:00:00,0.2,0.2,1,130713010,0,20
215,Nunraw Abbey,55.92185875,-2.653499917,15215,25156,2021-05-27 22:00:00,1.6,1.6,5,130680010,1,72
216,Old Mill of Newton,57.35801578,-2.577016947,367364,27003,2021-05-31 11:00:00,0.0,0.0,0,130203010,0,128
217,Ormiston Mill,55.5449192444277,-2.47331449245388,15007,24705,2021-05-31 14:00:00,0.0,0.0,0,130911010,0,206
218,Penwhapple Reservoir,55.23585144,-4.747897404,335375,26163,2021-05-31 14:00:00,0.0,0.0,0,130530010,0,164
219,Perth Norwich Union,56.38611935,-3.464092253,341345,26767,2021-05-31 13:00:00,0.0,0.0,0,131037010,0,226
220,Picketlaw Reservoir,55.73611493,-4.281846657,115632,23047,2021-05-31 11:00:00,0.0,0.0,0,130455010,0,11
221,Pluscarden Abbey,57.59946107,-3.433170424,486057,27382,2021-05-31 12:00:00,0.0,0.0,0,130872010,0,77
222,Polhollick,57.05514629,-3.083180673,234294,25784,2021-05-31 15:00:00,0.0,0.0,0,130173010,0,156
223,Polloch,56.75844885,-5.613663683,234295,25792,2021-05-13 12:00:00,7.8,7.8,10,130341010,1,32
224,Polmonthill STW,55.99776804,-3.680208641,15187,25081,2021-05-31 08:00:00,0.0,0.0,0,130653010,0,167
225,Portling,54.87093795,-3.744601282,115634,23055,2021-05-31 15:00:00,0.0,0.0,0,130073010,0,56
226,Portmoak,56.19239436,-3.334726298,15149,24993,2021-05-31 12:00:00,0.2,0.2,1,130614010,0,236
227,Prestwick,55.50523784,-4.610940702,344764,26802,2021-05-31 13:00:00,0.0,0.0,0,130536010,0,60
228,Quarry Head,57.63465034,-2.025944065,335575,26173,2021-05-31 15:00:00,0.0,0.0,0,130182010,0,239
229,Quinloch Farm,56.0079586,-4.377500029,115638,23066,2021-05-31 11:00:00,0.0,0.0,0,130458010,0,178
230,Rest and be Thankful,56.22216848,-4.859016846,485490,27378,2021-05-31 15:00:00,0.0,0.0,0,130551010,0,104
231,Rhian Bridge,58.11499626,-4.439159665,115390,22580,2021-05-31 16:00:00,0.0,0.0,0,130302010,0,90
232,Rhiconich,58.42139172,-4.991227379,336217,26406,2021-05-31 15:00:00,0.0,0.0,0,130353010,0,40
233,RhynieGS,57.3317252,-2.828953912,368013,27022,2021-05-31 00:00:00,0.0,0.0,0,130854010,0,213
234,Ross Priory,56.05257642,-4.55746111,133124,23735,2021-05-31 11:00:00,0.0,0.0,0,130497010,0,258
235,Rossie Farm,56.29912602,-3.202717904,15070,24849,2021-05-27 10:00:00,1.6,1.6,5,130998010,1,46
236,Rothienorman,57.40900118,-2.466784574,115239,22251,2021-05-31 15:00:00,0.0,0.0,0,130149010,0,210
237,Saline,56.12224003,-3.585958925,15155,25010,2021-05-31 12:00:00,0.0,0.0,0,130626010,0,274
238,Saughall,55.60098751,-4.226431521,115645,23081,2021-05-31 12:00:00,0.0,0.0,0,130461010,0,23
239,Scardroy No3,57.51892459,-4.985935657,347562,26823,2021-05-31 05:00:00,0.0,0.0,0,130368010,0,267
240,Sgodachail,57.8932766383122,-4.54697639942866,234305,25824,2021-05-31 13:00:00,0.0,0.0,0,130344010,0,218
241,Shiplaw,55.7279691733531,-3.20729143414443,14975,24592,2021-05-31 14:00:00,0.0,0.0,0,130890010,0,145
242,Shotts WWTW,55.81395203,-3.811987501,494255,27462,2021-05-31 11:00:00,0.0,0.0,0,130563010,0,146
243,Slamannan,55.94205217,-3.832217321,464630,27303,2021-05-31 12:00:00,0.0,0.0,0,130731010,0,251
244,Sluggan,57.2739976291366,-3.87599734801261,234314,25858,2021-05-31 11:00:00,0.0,0.0,0,130818010,0,189
245,Solwaybank,55.08629786,-3.086937218,115647,23089,2021-05-31 15:00:00,0.0,0.0,0,130076010,0,108
246,Sorbie,54.79252816,-4.42628864,115648,23094,2021-05-31 09:00:00,0.0,0.0,0,130079010,0,74
247,South Moorhouse,55.73251416,-4.350287842,115649,23098,2021-05-31 11:00:00,0.0,0.0,0,130464010,0,175
248,Spey Dam,57.01121062,-4.336367491,234315,25866,2021-05-31 11:00:00,0.0,0.0,0,130821010,0,63
249,St Monance,56.2047855,-2.78271364,335620,26218,2021-05-31 12:00:00,0.0,0.0,0,130710010,0,171
250,Stonyford,56.84214794,-2.811870347,369551,27100,2020-12-08 04:00:00,11.2,11.2,20,130212010,1,217
251,Strathkelvin House,55.94300475,-4.172710018,300383,25961,2021-05-31 11:00:00,0.0,0.0,0,130500010,0,38
252,Strathkinness,56.33136897,-2.863918962,11368,22132,2021-05-31 09:00:00,0.0,0.0,0,130953010,0,37
253,Strathy Bridge,58.55872143,-4.002604762,234319,25879,2021-05-31 16:00:00,0.0,0.0,0,130347010,0,140
254,Strathyre,56.32054504,-4.328975608,15172,25046,2021-05-30 16:00:00,0.0,0.0,0,130641010,0,197
255,Strowan,56.36918493,-3.92115763,361047,26934,2021-05-31 13:00:00,0.0,0.0,0,131040010,0,67
256,Tarland WWTP,57.1250488281981,-2.8514504640691,511327,972880,2021-05-31 15:00:00,0.0,0.0,0,130227010,0,148
257,Teviothead,55.3422273375472,-2.9364812156604,14999,24674,2021-05-31 12:00:00,0.0,0.0,0,130902010,0,126
258,The Lecht,57.20200168,-3.249607166,115244,22263,2021-05-31 12:00:00,0.0,0.0,0,130764010,0,246
259,Tillicoultry,56.148819,-3.7458095,15158,25015,2021-05-31 08:00:00,0.0,0.0,0,130629010,0,188
260,Tobermory,56.62026156,-6.080645248,115654,23116,2021-02-08 08:00:00,0.0,0.0,0,130467010,1,262
261,Tomatin No2,57.3381639827187,-4.01336020841456,564863,1442205,2021-05-31 12:00:00,0.0,0.0,0,148020010,0,24
262,Torduff,55.8968016,-3.267160193,15190,25090,2021-05-31 12:00:00,0.0,0.0,0,130659010,0,249
263,Torwinny,57.52198313,-3.446843553,234326,25901,2021-05-31 12:00:00,0.0,0.0,0,130824010,0,264
264,Townfoot (Glencaple),54.99473579,-3.568993615,323188,26100,2021-05-31 15:00:00,0.0,0.0,0,130106010,0,61
265,Tromie Bridge,57.0717185,-3.998638147,234327,25908,2021-05-30 22:00:00,0.0,0.0,0,130827010,0,5
266,Tulchan,57.399186873922,-3.44381881984428,115247,22269,2021-05-31 12:00:00,0.0,0.0,0,130767010,0,153
267,Unthank Raingauge,55.2428144328791,-2.96407300182699,506152,854682,2021-05-31 15:00:00,0.0,0.0,0,130122010,0,69
268,Upper Monachlye,56.39271229,-4.463706898,116007,23185,2021-05-31 04:00:00,0.2,0.2,1,130575010,0,70
269,Urquhart,57.59399199,-4.374371661,115406,22631,2021-05-31 15:00:00,0.0,0.0,0,130311010,0,122
270,Wardend Bridge,57.58239454,-3.608335401,234331,25924,2021-05-24 07:00:00,4.8,4.8,5,130830010,1,275
271,Waterside Perth,56.89929851,-2.820760629,369554,27107,2021-05-31 13:00:00,0.0,0.0,0,130215010,0,58
272,Waulkmill Glen,55.79484353,-4.353627607,115660,23137,2021-05-30 20:00:00,0.0,0.0,0,130470010,0,179
273,Weisdale Mill,60.2593269,-1.288604022,116008,23192,2021-04-05 01:00:00,3.6,3.6,5,130158010,1,252
274,Westhill,57.14756943,-2.291989375,115250,22276,2021-05-31 15:00:00,0.0,0.0,0,130155010,0,194
275,Whitburn,55.87157334,-3.682936938,14881,24105,2021-05-31 12:00:00,0.0,0.0,0,130584010,0,195
276,White Clauchrie,55.1412921,-4.677220867,502874,27530,2021-05-06 11:00:00,3.0,3.0,5,130112010,1,115
